date,month,year,ndvi_mean,ndvi_std
2010-01-01,1,2010,-0.044863956639566396,0.036761848359538295
2010-02-01,2,2010,-0.012815431888016387,0.03636440614944889
2010-03-01,3,2010,-0.00023754352643241556,0.014522226472837938
2010-04-01,4,2010,0.09368710535061481,0.0768099650217574
2010-05-01,5,2010,0.3058031378408666,0.1502940186461736
2010-06-01,6,2010,0.3465732749178532,0.10677277059632927
2010-07-01,7,2010,0.3551258577997877,0.10849719791568571
2010-08-01,8,2010,0.27768014372163385,0.08922428744118797
2010-09-01,9,2010,0.282012549960032,0.10380568043195341
2010-10-01,10,2010,0.21985036630036633,0.11838065104427613
2010-11-01,11,2010,0.06950988862639217,0.10611669873304576
2010-12-01,12,2010,-0.012168655240606462,0.025677227264640556
2011-01-01,1,2011,-0.02643220675944334,0.018790200272950204
2011-02-01,2,2011,-0.006329914529914528,0.014657279192719683
2011-03-01,3,2011,-0.011838318378198733,0.016589649501669267
2011-04-01,4,2011,0.11062417417417418,0.0861434257266239
2011-05-01,5,2011,0.30015923423423424,0.11058263993548918
2011-06-01,6,2011,0.3111611847555924,0.12190381065928327
2011-07-01,7,2011,0.32996088905491217,0.09097193781264533
2011-08-01,8,2011,0.3285551441932969,0.07516396336602332
2011-09-01,9,2011,0.33610423512230736,0.1458410571668883
2011-10-01,10,2011,0.23186299705449187,0.10912603764380324
2011-11-01,11,2011,0.11970409906063197,0.07789504824869596
2011-12-01,12,2011,0.10024306062819578,0.07925029710882309
2012-01-01,1,2012,-4.065010956902875e-05,0.05049906242815256
2012-02-01,2,2012,-0.008941057296612851,0.0178853102010464
2012-03-01,3,2012,0.0009052631578947331,0.029775186483107143
2012-04-01,4,2012,0.12252963114754095,0.07701053336083778
2012-05-01,5,2012,0.30245504690431513,0.19867164132474133
2012-06-01,6,2012,0.3336247976139753,0.15825210917763957
2012-07-01,7,2012,0.3203742574257426,0.1110338724284001
2012-08-01,8,2012,0.3523672096908939,0.08628664277987784
2012-09-01,9,2012,0.3330804258498319,0.09795260411577218
2012-10-01,10,2012,0.21471067146282968,0.14520232418587387
2012-11-01,11,2012,0.06202560568086884,0.10143256307552821
2012-12-01,12,2012,0.014132082018927447,0.0605127901999055
2013-01-01,1,2013,-0.021846677367576246,0.03684211333350589
2013-02-01,2,2013,-0.0182488315312173,0.02575957270487032
2013-03-01,3,2013,0.005295498392282958,0.014213461537883335
2013-04-01,4,2013,0.07831363793700243,0.06709234511803487
2013-05-01,5,2013,0.3335451021114572,0.17266327055862238
2013-06-01,6,2013,0.36931244979919675,0.12996981427324655
2013-07-01,7,2013,0.3503596746278989,0.12997945029888355
2013-08-01,8,2013,0.33334583729028167,0.13257969429556773
2013-09-01,9,2013,0.29367788182111715,0.14849867800839905
2013-10-01,10,2013,0.24580447913131992,0.11053532223202449
2013-11-01,11,2013,0.07033195488721805,0.10506698511400595
2013-12-01,12,2013,0.06926775,0.0925605545035249
2014-01-01,1,2014,-0.016577257745550425,0.022795434541537044
2014-02-01,2,2014,-0.008102581072137655,0.021773420400513558
2014-03-01,3,2014,0.08801925192519251,0.08291141898699782
2014-04-01,4,2014,0.12052557352388112,0.05869846638163175
2014-05-01,5,2014,0.2783786559888578,0.1399700609257408
2014-06-01,6,2014,0.32821293195582474,0.14947559531157603
2014-07-01,7,2014,0.36410075993091534,0.12246838622681373
2014-08-01,8,2014,0.33989031486648064,0.11427857410730995
2014-09-01,9,2014,0.2675734701096568,0.17798417482711457
2014-10-01,10,2014,0.14347612309869118,0.1448687887557412
2014-11-01,11,2014,0.11606868820039552,0.131515750007366
2014-12-01,12,2014,0.04580786988457503,0.05275184420156955
2015-01-01,1,2015,-0.02948105178643116,0.04327526590390006
2015-02-01,2,2015,0.01020068093385214,0.03577645414627164
2015-03-01,3,2015,0.1011202595758151,0.055972006892334655
2015-04-01,4,2015,0.12420279139947188,0.06074434382000062
2015-05-01,5,2015,0.27020171465545123,0.13552952384595038
2015-06-01,6,2015,0.3629460272238048,0.15414630135758126
2015-07-01,7,2015,0.4032654932159881,0.18181975922256066
2015-08-01,8,2015,0.3331680335808847,0.1430906374261822
2015-09-01,9,2015,0.32901689189189176,0.107658424317517
2015-10-01,10,2015,0.3094883029341792,0.15089186927405263
2015-11-01,11,2015,0.16232,0.10617261818412033
2015-12-01,12,2015,0.04583971384377417,0.04887274745486467
2016-01-01,1,2016,-0.03358357740585775,0.036826654748972246
2016-02-01,2,2016,0.0075708565459609994,0.05451067418405317
2016-03-01,3,2016,0.08888938804386276,0.07231731005321847
2016-04-01,4,2016,0.15437289534499837,0.09721068433272914
2016-05-01,5,2016,0.277947795992714,0.12232885114404621
2016-06-01,6,2016,0.37935205526770294,0.12364040538493062
2016-07-01,7,2016,0.3840654050229925,0.10748390184374378
2016-08-01,8,2016,0.34617803278688514,0.1162641062409201
2016-09-01,9,2016,0.2775114178595773,0.10217281240011944
2016-10-01,10,2016,0.26858112351709695,0.09390442422425521
2016-11-01,11,2016,0.008119811676082861,0.0405809644360039
2016-12-01,12,2016,0.04532679296346414,0.060031904850670885
